G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
104,1,0,0,1,-398.73611719999997,14.97527412,-45.26163957,-0.3002492,0.598334783,-0.298085583
105,1,0,0,1,-387.4055148,15.89535016,-45.77726924,-0.303804438,0.5997617829999999,-0.295957345
106,1,0,0,1,-375.5156693,17.06981213,-46.02329624,-0.307152295,0.601040959,-0.293888665
107,1,0,0,1,-363.2409423,18.48664682,-46.01138326,-0.310416319,0.602171679,-0.291755361
108,1,0,0,1,-350.8224006,19.94319071,-45.94384719,-0.313625133,0.6031539810000001,-0.289528848
109,1,0,0,1,-338.4982688,21.21674502,-46.04304407,-0.316783969,0.603987305,-0.28720333600000003
110,1,0,0,1,-326.4037457,22.25425673,-46.36168827,-0.31995273,0.6046717620000001,-0.284719032
111,1,0,0,1,-314.5632025,23.16899496,-46.78617598,-0.323227797,0.605206868,-0.281979071
112,1,0,0,1,-302.8863222,24.10298787,-47.1741487,-0.326641592,0.605592805,-0.27895121300000003
113,1,0,0,1,-291.22992180000006,25.08734805,-47.49416755,-0.330096409,0.605829165,-0.275732756
114,1,0,0,1,-279.4276803,26.062579500000002,-47.80540682,-0.333414887,0.6059162020000001,-0.272501314
115,1,0,0,1,-267.3531543,26.9850577,-48.15117349,-0.336463535,0.605853581,-0.269390046
116,1,0,0,1,-254.9325635,27.91061726,-48.47532015,-0.33923356600000004,0.605641632,-0.266408065
117,1,0,0,1,-242.1778353,28.93841706,-48.67837945,-0.341811115,0.6052800939999999,-0.263468979
118,1,0,0,1,-229.16777259999998,30.10521212,-48.723292799999996,-0.344287215,0.6047693670000001,-0.26048215199999997
119,1,0,0,1,-216.0406261,31.32719389,-48.69356965,-0.34669898,0.604109268,-0.257410288
120,1,0,0,1,-202.932701,32.47400013,-48.7192782,-0.349048963,0.6033002679999999,-0.254251305
121,1,0,0,1,-189.94509399999998,33.47466118,-48.87109867,-0.35135379200000005,0.6023422589999999,-0.250988467
122,1,0,0,1,-177.10127419999998,34.369259299999996,-49.10866459,-0.35365916399999997,0.601235785,-0.24757662100000002
123,1,0,0,1,-164.365626,35.24464254,-49.34484843,-0.355996197,0.599980811,-0.24398461300000002
124,1,0,0,1,-151.65398430000002,36.15187911,-49.52830783,-0.358334776,0.598577954,-0.240243178
125,1,0,0,1,-138.87669269999998,37.07221727,-49.67752531,-0.360584336,0.597027254,-0.236442918
126,1,0,0,1,-125.9510154,37.97163403,-49.82626008,-0.362654604,0.5953294,-0.23267479600000002
127,1,0,0,1,-112.83369499999999,38.85404345,-49.97033935,-0.36451346100000004,0.593484504,-0.228971043
128,1,0,0,1,-99.52012059,39.76800962,-50.06094586,-0.366197335,0.591493327,-0.22529599100000003
129,1,0,0,1,-86.05675868,40.74712852,-50.06423566,-0.36776543,0.589356056,-0.221590626
